a,b,c,d,e,f
3,11,12,21,24,32
17,25,27,33,38,42
4,8,12,16,24,25
1,15,19,22,25,33
4,16,19,33,36,40
6,17,20,30,33,40
6,8,15,18,35,41
1,10,13,15,16,29
14,19,31,35,36,42
2,4,5,11,12,37
1,7,16,29,38,41
2,17,19,23,24,27
8,11,18,19,21,23
3,8,23,26,32,37
3,5,9,18,21,34
2,18,27,34,38,40
2,10,12,15,18,35
3,9,19,24,30,33
1,11,15,18,23,40
13,16,18,28,30,38
2,4,5,6,32,39
11,25,34,35,36,37
4,6,8,12,32,33
3,13,17,26,29,40
7,14,16,24,30,42
6,14,33,35,38,39
13,21,26,29,41,42
11,22,26,28,30,42
19,20,27,30,40,42
4,10,14,18,20,35
1,19,23,25,39,41
13,14,15,22,32,42
6,13,16,18,22,38
3,6,20,22,35,38
4,9,17,28,33,38
5,8,17,21,40,42
7,16,29,33,36,41
8,9,10,24,27,35
2,8,15,17,30,38
2,4,6,15,27,35
5,18,24,31,40,41
5,6,28,34,35,39
17,19,29,30,32,42
2,5,9,13,26,42
3,8,13,14,15,41
4,17,20,27,36,40
11,13,18,22,30,42
2,5,29,30,37,38
21,25,28,34,36,40
10,14,18,22,25,38
6,14,28,29,36,39
3,17,27,33,38,42
12,32,35,38,40,41
1,12,21,33,38,41
6,13,14,16,29,37
16,17,22,25,27,42
4,15,16,26,35,37
4,5,10,31,33,34
13,21,27,31,36,38
2,11,14,19,25,32
2,17,22,27,32,40
11,25,27,30,31,37
6,8,10,11,19,41
19,21,25,26,31,41
10,25,28,31,34,41
7,8,11,23,26,40
2,7,16,17,18,24
5,8,18,20,29,31
5,9,17,28,36,41
8,9,24,30,31,38
21,25,26,30,33,34
15,17,22,35,36,41
3,11,13,21,25,42
2,12,29,30,35,39
14,15,23,24,34,40
14,21,22,24,37,41
1,2,8,32,41,42
4,7,10,11,16,19
1,11,16,18,26,37
10,14,16,17,18,35
7,8,11,20,21,28
3,25,30,34,35,42
7,12,16,27,38,42
6,12,15,37,38,41
13,16,17,25,33,42
3,11,20,24,37,41
3,9,23,26,33,34
7,20,31,34,36,41
4,14,17,22,35,41
1,8,9,15,16,33
7,13,15,21,26,35
6,8,11,18,19,29
10,13,18,26,27,42
10,25,26,32,37,42
18,23,24,25,27,37
15,22,29,30,38,42
5,7,11,14,17,20
1,8,11,12,29,30
7,13,14,16,17,18
4,7,9,14,25,30
10,12,14,18,19,40
2,3,17,22,30,40
11,23,25,34,38,39
7,14,35,38,39,42
1,4,6,15,20,24
6,10,15,16,26,34
2,3,10,11,33,34
3,5,7,13,25,31
21,25,26,27,31,32
1,3,16,21,25,32
2,15,16,25,26,32
6,18,23,24,30,42
10,11,22,24,36,42
9,17,18,30,33,36
15,18,19,26,33,35
5,18,29,33,34,40
3,4,7,11,17,20
18,23,27,29,30,39
6,13,27,35,38,40
8,11,19,31,32,35
2,15,24,25,29,31
1,5,15,28,29,36
3,5,11,18,32,34
9,11,18,32,33,35
6,11,13,21,23,24
2,3,8,17,19,23
7,11,22,31,37,42
2,7,20,22,24,35
3,7,10,18,23,39
1,5,9,18,20,39
9,10,14,19,29,35
4,11,13,14,26,38
6,13,26,33,35,40
15,17,22,37,38,42
1,6,15,16,28,32
7,21,28,29,31,33
1,8,10,15,21,34
4,9,26,28,35,39
13,14,15,23,34,39
3,27,31,33,40,41
2,3,10,14,17,23
7,22,29,33,37,41
14,16,17,30,34,35
8,13,21,24,27,32
7,12,18,23,31,38
6,8,15,21,25,26
7,22,24,29,35,39
1,8,9,32,35,42
7,23,24,26,38,42
10,11,12,18,22,38
5,11,17,24,25,41
1,3,12,16,17,42
2,8,20,21,30,40
15,16,19,22,28,36
7,11,12,16,24,39
13,16,19,35,40,42
1,7,14,17,23,42
7,11,20,32,35,42
21,22,24,31,37,38
5,10,12,20,30,33
1,4,12,13,17,38
9,13,28,29,35,37
2,30,32,33,35,41
7,15,22,27,39,40
19,20,25,35,38,42
2,9,14,20,35,42
11,19,21,28,41,42
3,4,9,12,18,39
4,14,20,21,26,41
7,12,17,18,31,34
9,18,20,22,26,42
1,5,11,25,26,39
4,11,17,19,35,42
4,11,18,21,25,28
2,12,24,25,36,40
3,9,22,32,38,42
4,9,10,19,26,35
9,24,31,32,36,40
9,33,34,35,36,42
3,6,7,15,18,29
5,17,26,29,32,35
2,11,20,21,32,33
11,13,19,21,30,39
1,9,19,23,33,34
3,23,24,33,35,42
13,18,21,26,27,28
2,12,14,24,25,33
8,9,17,22,35,40
11,17,23,28,37,42
10,15,22,25,40,42
4,16,17,18,30,37
4,12,19,22,30,33
6,14,17,22,23,41
23,24,27,28,29,34
15,17,25,28,30,32
10,11,20,24,27,32
5,12,15,19,30,38
3,13,20,28,36,38
5,17,22,29,40,42
11,12,17,30,39,40
4,15,19,29,37,40
15,21,26,29,36,38
7,18,22,24,26,30
1,7,11,18,25,26
11,20,23,25,29,31
5,19,23,26,28,31
12,21,29,36,39,42
4,19,21,22,30,32
1,3,7,11,39,40
6,7,17,24,29,41
6,9,33,34,37,38
2,7,13,16,26,37
11,12,13,15,39,41
5,10,11,15,24,27
3,7,10,34,38,42
3,4,19,29,30,32
17,20,29,34,36,38
1,9,22,35,38,39
7,21,25,28,35,40
14,15,16,23,37,39
1,8,22,28,29,32
4,17,20,28,34,42
3,10,16,20,21,30
2,4,16,18,39,41
5,9,20,34,36,40
3,11,13,27,31,41
11,13,35,36,37,42
1,11,18,20,36,39
5,12,18,21,25,33
4,22,29,33,38,40
2,4,15,25,29,36
8,12,21,23,24,33
4,11,14,19,32,34
13,18,20,21,24,34
10,16,19,23,35,42
3,6,14,30,32,34
10,12,13,26,28,36
1,14,16,19,25,33
4,7,9,12,33,41
2,13,16,24,32,42
2,3,4,11,32,34
16,17,21,32,39,41
6,7,11,12,14,33
2,10,11,25,34,41
4,23,25,29,32,36
12,24,33,34,35,42
4,5,17,35,36,42
2,3,8,17,21,41
6,18,20,24,34,39
10,11,16,21,25,34
4,10,22,26,33,35
1,11,17,20,22,24
3,5,8,11,18,25
1,3,7,8,15,22
6,9,12,29,30,34
2,5,11,17,31,35
2,10,11,12,31,34
4,9,24,35,40,41
8,16,22,29,31,42
6,11,18,19,24,35
3,13,16,21,36,39
11,12,16,19,24,40
5,18,21,22,24,42
3,9,13,20,32,42
5,17,32,33,36,42
6,10,24,32,36,40
1,5,10,36,39,40
1,17,26,29,34,40
19,28,33,38,40,42
5,7,12,18,28,35
12,15,27,36,37,42
10,12,20,33,36,42
1,3,9,35,37,41
1,4,8,13,21,40
5,7,18,21,23,42
4,7,13,27,28,35
3,7,12,28,34,36
2,4,5,10,17,40
6,15,20,32,37,41
6,15,17,20,21,37
7,8,11,15,27,30
1,6,12,14,22,35
4,6,17,33,39,41
8,21,31,32,36,39
8,11,29,35,37,42
5,15,17,34,39,42
12,17,24,25,39,42
6,10,15,18,19,35
8,23,26,27,28,42
9,15,28,31,37,41
5,12,20,22,39,41
3,20,22,23,25,32
4,14,27,33,37,42
8,11,23,24,31,42
7,18,26,31,33,36
1,5,18,24,28,36
1,3,11,18,23,34
1,11,25,38,39,41
1,10,17,18,27,28
6,12,16,32,35,38
6,7,17,18,38,40
7,18,20,24,26,29
10,13,15,16,25,42
3,14,31,32,36,39
3,7,12,24,26,38
1,9,19,21,28,40
2,12,16,17,33,37
5,17,23,35,38,40
1,7,11,12,23,40
1,14,19,27,30,38
2,35,36,38,41,42
2,11,13,15,16,22
3,11,14,16,25,29
2,19,21,22,27,39
11,19,24,25,35,37
7,8,16,17,30,31
4,7,19,23,28,42
3,6,14,15,17,30
6,13,22,30,32,42
